source,title,speaking
ROMA,Roma,Roma
ROMSKA,Romska,Romska
ROSAQA,Rosaqa,Rosaqa
ROZA MJEDA,Roza Mjeda,Roza Mjeda
ROZAFA,Rozafa,Rozafa
ROZHAJA,Rozhaja,Rozhaja
RRAFSHI,Rrafshi,Rrafshi
RRAFSHI I KOSOVËS,Rrafshi I Kosovës,Rrafshi I Kosoves
RRAFSHI I POSHTËM,Rrafshi I Poshtëm,Rrafshi I Poshtem
RRAFSHI I TUPECIT,Rrafshi I Tupecit,Rrafshi I Tupecit
RRAFSHI I VRESHTAVE,Rrafshi I Vreshtave,Rrafshi I Vreshtave
RRAFSHINA,Rrafshina,Rrafshina
RRAFSHPLLUGU,Rrafshpllugu,Rrafshpllugu
RRAFSHTINAT,Rrafshtinat,Rrafshtinat
RRAHI,Rrahi,Rrahi
RRAHI I FSHATIT,Rrahi I Fshatit,Rrahi I Fshatit
RRAHIM BAJRAKTARI,Rrahim Bajraktari,Rrahim Bajraktari
RRAHIM BEQIRI,Rrahim Beqiri,Rrahim Beqiri
RRAHIM CAKAJ,Rrahim Cakaj,Rrahim Cakaj
RRAHIM E NEXHMEDIN PROKSHI,Rrahim e Nexhmedin Prokshi,Rrahim e Nexhmedin Prokshi
RRAHIM E REXHEP HYKOLLI,Rrahim e Rexhep Hykolli,Rrahim e Rexhep Hykolli
RRAHIM GËRBESHI,Rrahim Gërbeshi,Rrahim Gerbeshi
RRAHIM HAJDARI,Rrahim Hajdari,Rrahim Hajdari
RRAHIM HAJRIZI,Rrahim Hajrizi,Rrahim Hajrizi
RRAHIM HOTI,Rrahim Hoti,Rrahim Hoti
RRAHIM KAQANOLLI,Rrahim Kaqanolli,Rrahim Kaqanolli
RRAHIM KOSKOVIKU,Rrahim Koskoviku,Rrahim Koskoviku
RRAHIM KOSOVA,Rrahim Kosova,Rrahim Kosova
RRAHIM KOSUMI,Rrahim Kosumi,Rrahim Kosumi
RRAHIM KRASNIQI,Rrahim Krasniqi,Rrahim Krasniqi
RRAHIM MEHMETI,Rrahim Mehmeti,Rrahim Mehmeti
RRAHIM MULOLLI,Rrahim Mulolli,Rrahim Mulolli
RRAHIM QALLAPEKU,Rrahim Qallapeku,Rrahim Qallapeku
RRAHIM RRAHMANI,Rrahim Rrahmani,Rrahim Rrahmani
RRAHIM SALIHI,Rrahim Salihi,Rrahim Salihi
RRAHIM SYLA,Rrahim Syla,Rrahim Syla
RRAHIM TASHEFCI,Rrahim Tashefci,Rrahim Tashefci
RRAHIM UKË SHALA,Rrahim Ukë Shala,Rrahim Uke Shala
RRAHIM VISHI,Rrahim Vishi,Rrahim Vishi
RRAHIM ZABËRGJA,Rrahim Zabërgja,Rrahim Zabergja
RRAHISHTA,Rrahishta,Rrahishta
RRAHIT,Rrahit,Rrahit
RRAHMAN ADEMI,Rrahman Ademi,Rrahman Ademi
RRAHMAN BAHTIRI,Rrahman Bahtiri,Rrahman Bahtiri
RRAHMAN BERISHA,Rrahman Berisha,Rrahman Berisha
RRAHMAN CAKAJ,Rrahman Cakaj,Rrahman Cakaj
RRAHMAN DEDIA,Rrahman Dedia,Rrahman Dedia
RRAHMAN DINI,Rrahman Dini,Rrahman Dini
RRAHMAN EJUPI,Rrahman Ejupi,Rrahman Ejupi
RRAHMAN GASHI,Rrahman Gashi,Rrahman Gashi
RRAHMAN HAJDINI,Rrahman Hajdini,Rrahman Hajdini
RRAHMAN HALITI,Rrahman Haliti,Rrahman Haliti
RRAHMAN HAMZAJ,Rrahman Hamzaj,Rrahman Hamzaj
RRAHMAN HASANI,Rrahman Hasani,Rrahman Hasani
RRAHMAN HYSENI,Rrahman Hyseni,Rrahman Hyseni
RRAHMAN KOLGECI,Rrahman Kolgeci,Rrahman Kolgeci
RRAHMAN KRASNIQI,Rrahman Krasniqi,Rrahman Krasniqi
RRAHMAN LATIFI,Rrahman Latifi,Rrahman Latifi
RRAHMAN LUSHTAKU,Rrahman Lushtaku,Rrahman Lushtaku
RRAHMAN MURATI,Rrahman Murati,Rrahman Murati
RRAHMAN MUSA,Rrahman Musa,Rrahman Musa
RRAHMAN NDRECAJ,Rrahman Ndrecaj,Rrahman Ndrecaj
RRAHMAN REXHEPI,Rrahman Rexhepi,Rrahman Rexhepi
RRAHMAN RRAHMANI,Rrahman Rrahmani,Rrahman Rrahmani
RRAHMAN RUDARI,Rrahman Rudari,Rrahman Rudari
RRAHMAN SADRIU,Rrahman Sadriu,Rrahman Sadriu
RRAHMAN SH HALILI,Rrahman Sh Halili,Rrahman Sh Halili
RRAHMAN SHALA,Rrahman Shala,Rrahman Shala
RRAHMAN TAFA,Rrahman Tafa,Rrahman Tafa
RRAHMAN VEQERAKU,Rrahman Veqeraku,Rrahman Veqeraku
RRAHMAN VESELI,Rrahman Veseli,Rrahman Veseli
RRAHMAN VOGLIQI,Rrahman Vogliqi,Rrahman Vogliqi
RRAHMAN ZEQA,Rrahman Zeqa,Rrahman Zeqa
RRAHMANAJT,Rrahmanajt,Rrahmanajt
RRAHMANI,Rrahmani,Rrahmani
RRAHMON SELACI,Rrahmon Selaci,Rrahmon Selaci
RRAHU,Rrahu,Rrahu
RRAHU I HOÇËS,Rrahu I Hoçës,Rrahu I Hoces
RRAKAQËT,Rrakaqët,Rrakaqet
RRAPI,Rrapi,Rrapi
RRAPO HEKALI,Rrapo Hekali,Rrapo Hekali
RRASA E BARDHË,Rrasa e Bardhë,Rrasa e Bardhe
RRASA E ZOGUT,Rrasa e Zogut,Rrasa e Zogut
RRASAT,Rrasat,Rrasat
RRASAT E PASHTRIKUT,Rrasat e Pashtrikut,Rrasat e Pashtrikut
RRASI,Rrasi,Rrasi
RRASËS,Rrasës,Rrases
RRAÇËT,Rraçët,Rracet
RREBA,Rreba,Rreba
RREN ÇUPI,Rren Çupi,Rren Cupi
RRETHOJAT,Rrethojat,Rrethojat
RREZAK SHALA,Rrezak Shala,Rrezak Shala
RREZE,Rreze,Rreze
RREZE MALI,Rreze Mali,Rreze Mali
RREZET E DIELLIT,Rrezet e Diellit,Rrezet e Diellit
RREZINA,Rrezina,Rrezina
RREZISTENCA,Rrezistenca,Rrezistenca
RREZISTENCA 1993,Rrezistenca 1993,Rrezistenca 1993
RREZJA,Rrezja,Rrezja
RREZJA E BLINAJËS,Rrezja e Blinajës,Rrezja e Blinajes
RREZJA E LIRISË,Rrezja e Lirisë,Rrezja e Lirise
RREZJA E MALIT,Rrezja e Malit,Rrezja e Malit
RREZJA LIIRIS,Rrezja Liiris,Rrezja Liiris
RRILET,Rrilet,Rrilet
RRJESHTA,Rrjeshta,Rrjeshta
RROGOZHINA,Rrogozhina,Rrogozhina
RROK ZOJZI,Rrok Zojzi,Rrok Zojzi
RROZA CUKI,Rroza Cuki,Rroza Cuki
RROZAVE,Rrozave,Rrozave
RRUDHANI,Rrudhani,Rrudhani
RRUGA e TMK,Rruga e Tmk,Rruga e Tmk
RRUKË TARAXHA,Rrukë Taraxha,Rruke Taraxha
RRUSH TULLARI,Rrush Tullari,Rrush Tullari
RRUSTEM AJET ELEZI,Rrustem Ajet Elezi,Rrustem Ajet Elezi
RRUSTEM BEHRAMI,Rrustem Behrami,Rrustem Behrami
RRUSTEM BEJTA,Rrustem Bejta,Rrustem Bejta
RRUSTEM BERISHA,Rrustem Berisha,Rrustem Berisha
RRUSTEM BRUQI,Rrustem Bruqi,Rrustem Bruqi
RRUSTEM DAKAJ,Rrustem Dakaj,Rrustem Dakaj
RRUSTEM DELIJA,Rrustem Delija,Rrustem Delija
RRUSTEM DRAGUSHA,Rrustem Dragusha,Rrustem Dragusha
RRUSTEM DUBRAVA,Rrustem Dubrava,Rrustem Dubrava
RRUSTEM ELSHANI,Rrustem Elshani,Rrustem Elshani
RRUSTEM FETAHAJ,Rrustem Fetahaj,Rrustem Fetahaj
RRUSTEM GRADICA,Rrustem Gradica,Rrustem Gradica
RRUSTEM HAJDINI,Rrustem Hajdini,Rrustem Hajdini
RRUSTEM HASANI,Rrustem Hasani,Rrustem Hasani
RRUSTEM HAXHA,Rrustem Haxha,Rrustem Haxha
RRUSTEM HOTI,Rrustem Hoti,Rrustem Hoti
RRUSTEM HYSENI,Rrustem Hyseni,Rrustem Hyseni
RRUSTEM HYSENI HISTORIANI,Rrustem Hyseni Historiani,Rrustem Hyseni Historiani
RRUSTEM ISMAJLI,Rrustem Ismajli,Rrustem Ismajli
RRUSTEM KABASHI,Rrustem Kabashi,Rrustem Kabashi
RRUSTEM KARAXHA,Rrustem Karaxha,Rrustem Karaxha
RRUSTEM KRASNIQI,Rrustem Krasniqi,Rrustem Krasniqi
RRUSTEM KRYEZIU,Rrustem Kryeziu,Rrustem Kryeziu
RRUSTEM MEHMETI,Rrustem Mehmeti,Rrustem Mehmeti
RRUSTEM MORINA,Rrustem Morina,Rrustem Morina
RRUSTEM OSMANI,Rrustem Osmani,Rrustem Osmani
RRUSTEM REXHA,Rrustem Rexha,Rrustem Rexha
RRUSTEM RRUSTEMI,Rrustem Rrustemi,Rrustem Rrustemi
RRUSTEM SADIKU,Rrustem Sadiku,Rrustem Sadiku
RRUSTEM SALIHU,Rrustem Salihu,Rrustem Salihu
RRUSTEM SEFEDINI,Rrustem Sefedini,Rrustem Sefedini
RRUSTEM SEJDIU,Rrustem Sejdiu,Rrustem Sejdiu
RRUSTEM SHABANI,Rrustem Shabani,Rrustem Shabani
RRUSTEM SHALA,Rrustem Shala,Rrustem Shala
RRUSTEM SHPORTA,Rrustem Shporta,Rrustem Shporta
RRUSTEM STATOVCI,Rrustem Statovci,Rrustem Statovci
RRUSTEM SUHODOLLI,Rrustem Suhodolli,Rrustem Suhodolli
RRUSTEM TAHIRI,Rrustem Tahiri,Rrustem Tahiri
RRUSTEM THAQI,Rrustem Thaqi,Rrustem Thaqi
RRUSTEM THAÇI,Rrustem Thaçi,Rrustem Thaci
RRUSTEM UKAJ,Rrustem Ukaj,Rrustem Ukaj
RRUSTEM ZEQIRI,Rrustem Zeqiri,Rrustem Zeqiri
RRUSTEMAJT,Rrustemajt,Rrustemajt
RRUSTEMI,Rrustemi,Rrustemi
RRUSTEMI SEJDIU,Rrustemi Sejdiu,Rrustemi Sejdiu
RRUSTË KABASHI,Rrustë Kabashi,Rruste Kabashi
RRUSTË SADIKU,Rrustë Sadiku,Rruste Sadiku
RRUSTË TAFA,Rrustë Tafa,Rruste Tafa
RRYSTAJ,Rrystaj,Rrystaj
RRËNZA E SHARRIT,Rrënza e Sharrit,Rrenza e Sharrit
RRËNZËS,Rrënzës,Rrenzes
RRËSHENI,Rrësheni,Rresheni
RRËZMALI,Rrëzmali,Rrezmali
RRËZË MALIT,Rrëzë Malit,Rreze Malit
RUBIKU,Rubiku,Rubiku
RUBOVCI,Rubovci,Rubovci
RUDINA,Rudina,Rudina
RUDINAT,Rudinat,Rudinat
RUDINE,Rudine,Rudine
RUDINSKA,Rudinska,Rudinska
RUDNIČKA,Rudnička,Rudnicka
RUF ÇIFLLAKU,Ruf Çifllaku,Ruf Cifllaku
RUFAT KASTRATI,Rufat Kastrati,Rufat Kastrati
RUFAT SELISHTA,Rufat Selishta,Rufat Selishta
RUGOVA,Rugova,Rugova
RUGOVA,Rugova,Rugova
RUHAN KADRIU,Ruhan Kadriu,Ruhan Kadriu
RUHANËT,Ruhanët,Ruhanet
RUMANICE,Rumanice,Rumanice
RUMIU,Rumiu,Rumiu
RUSHIT ALIAJ,Rushit Aliaj,Rushit Aliaj
RUSHIT HALILI,Rushit Halili,Rushit Halili
RUSHIT HALITJAHA,Rushit Halitjaha,Rushit Halitjaha
RUSHIT KASTRATI,Rushit Kastrati,Rushit Kastrati
RUSHIT LUTA,Rushit Luta,Rushit Luta
RUSHIT MAÇASTENA,Rushit Maçastena,Rushit Macastena
RUSHIT SELMANI,Rushit Selmani,Rushit Selmani
RUSHIT SHALA,Rushit Shala,Rushit Shala
RUSHIT STROCI,Rushit Stroci,Rushit Stroci
RUSHIT XHINOVCI,Rushit Xhinovci,Rushit Xhinovci
RUSHITI,Rushiti,Rushiti
RUSOLIA,Rusolia,Rusolia
RUZHDI ALIU,Ruzhdi Aliu,Ruzhdi Aliu
RUZHDI BERISHA,Ruzhdi Berisha,Ruzhdi Berisha
RUZHDI BLAKÇORI,Ruzhdi Blakçori,Ruzhdi Blakcori
RUZHDI FERIZI,Ruzhdi Ferizi,Ruzhdi Ferizi
RUZHDI HYSENI,Ruzhdi Hyseni,Ruzhdi Hyseni
RUZHDI JANJEVA,Ruzhdi Janjeva,Ruzhdi Janjeva
RUZHDI JUPAJ,Ruzhdi Jupaj,Ruzhdi Jupaj
RUZHDI JUSUFI,Ruzhdi Jusufi,Ruzhdi Jusufi
RUZHDI KABASHI,Ruzhdi Kabashi,Ruzhdi Kabashi
RUZHDI KRASNIQI,Ruzhdi Krasniqi,Ruzhdi Krasniqi
RUZHDI QATANI,Ruzhdi Qatani,Ruzhdi Qatani
RUZHDI SALIHU,Ruzhdi Salihu,Ruzhdi Salihu
RUZHDI SALIU,Ruzhdi Saliu,Ruzhdi Saliu
RUZHDI SHABANI,Ruzhdi Shabani,Ruzhdi Shabani
RUČINA,Ručina,Rucina
RYFET KRASNIQI,Ryfet Krasniqi,Ryfet Krasniqi
RZAVSKA,Rzavska,Rzavska
SAAT KULESİ,Saat Kulesi̇,Saat Kulesi̇
SABEDIN HASANI,Sabedin Hasani,Sabedin Hasani
SABEDIN JANUZI,Sabedin Januzi,Sabedin Januzi
SABEDIN PLLANA,Sabedin Pllana,Sabedin Pllana
SABEDIN PREKAZI,Sabedin Prekazi,Sabedin Prekazi
SABILE MUHAXHERI,Sabile Muhaxheri,Sabile Muhaxheri
SABIT ALIU,Sabit Aliu,Sabit Aliu
SABIT BEQIRI,Sabit Beqiri,Sabit Beqiri
SABIT BUCALIU,Sabit Bucaliu,Sabit Bucaliu
SABIT EMINI,Sabit Emini,Sabit Emini
SABIT FAZLIU,Sabit Fazliu,Sabit Fazliu
SABIT GARIP LOKU,Sabit Garip Loku,Sabit Garip Loku
SABIT HAZIRI,Sabit Haziri,Sabit Haziri
SABIT KAPITI,Sabit Kapiti,Sabit Kapiti
SABIT LAHU,Sabit Lahu,Sabit Lahu
SABIT LEKU,Sabit Leku,Sabit Leku
SABIT LOKU,Sabit Loku,Sabit Loku
SABIT LUSHAJ,Sabit Lushaj,Sabit Lushaj
SABIT MALOKU,Sabit Maloku,Sabit Maloku
SABIT MUSHICA,Sabit Mushica,Sabit Mushica
SABIT RRAHIMI,Sabit Rrahimi,Sabit Rrahimi
SABIT RRUDHANI,Sabit Rrudhani,Sabit Rrudhani
SABIT SADIKAJ,Sabit Sadikaj,Sabit Sadikaj
