source,title,speaking
1 MAJ,1 Maj,1 Maj
1 MAJI 1999,1 Maji 1999,1 Maji 1999
1 QERSHORI,1 Qershori,1 Qershori
1 SHKURTI,1 Shkurti,1 Shkurti
1 TETORI,1 Tetori,1 Tetori
10 DHJETORI,10 Dhjetori,10 Dhjetori
10 GUSHTI,10 Gushti,10 Gushti
10 PRILLI,10 Prilli,10 Prilli
10 QERSHORI,10 Qershori,10 Qershori
11 MAJI,11 Maji,11 Maji
11 MARS 1981,11 Mars 1981,11 Mars 1981
11 MARSI,11 Marsi,11 Marsi
11 MARTIRËT,11 Martirët,11 Martiret
11 MARTIRËT,11 Martirët,11 Martiret
11 QERSHORI,11 Qershori,11 Qershori
113 MARTIRËT,113 Martirët,113 Martiret
12 MAJI,12 Maji,12 Maji
12 PRILLI,12 Prilli,12 Prilli
12 QERSHORI,12 Qershori,12 Qershori
13 AVGUSTI,13 Avgusti,13 Avgusti
13 DËSHMORËT,13 Dëshmorët,13 Deshmoret
13 KORRIKU,13 Korriku,13 Korriku
13 MAJI,13 Maji,13 Maji
13 PRILLI,13 Prilli,13 Prilli
13 QERSHORI,13 Qershori,13 Qershori
13 SHTATORI,13 Shtatori,13 Shtatori
13 USHTARËT,13 Ushtarët,13 Ushtaret
14 DHJETORI,14 Dhjetori,14 Dhjetori
14 MAJ,14 Maj,14 Maj
14 MAJI,14 Maji,14 Maji
14 MARTIRËT,14 Martirët,14 Martiret
14 PRILLI,14 Prilli,14 Prilli
14 PRILLI 1999,14 Prilli 1999,14 Prilli 1999
14 QERSHORI,14 Qershori,14 Qershori
15 JANARI,15 Janari,15 Janari
15 MAJI,15 Maji,15 Maji
15 MARSI,15 Marsi,15 Marsi
15 PRILLI,15 Prilli,15 Prilli
15 QERSHORI,15 Qershori,15 Qershori
15 SHKURTI,15 Shkurti,15 Shkurti
16 PRILLI,16 Prilli,16 Prilli
16 QERSHORI,16 Qershori,16 Qershori
17 KORRIKU,17 Korriku,17 Korriku
17 MAJI,17 Maji,17 Maji
17 MAJI 1999,17 Maji 1999,17 Maji 1999
17 MARTIRËT,17 Martirët,17 Martiret
17 QERSHORI,17 Qershori,17 Qershori
17 SHKURTI,17 Shkurti,17 Shkurti
17 SHKURTI 2008,17 Shkurti 2008,17 Shkurti 2008
18 KORRIKU,18 Korriku,18 Korriku
18 PRILL 98,18 Prill 98,18 Prill 98
18 PRILLI,18 Prilli,18 Prilli
18 QERSHORI,18 Qershori,18 Qershori
19 PRILLI,19 Prilli,19 Prilli
19 QERSHORI,19 Qershori,19 Qershori
2 KORRIKU,2 Korriku,2 Korriku
2 KORRIKU 1990,2 Korriku 1990,2 Korriku 1990
2 MAJI,2 Maji,2 Maji
2 MARTIRËT,2 Martirët,2 Martiret
2 NËNTORI,2 Nëntori,2 Nentori
2 PRILLI,2 Prilli,2 Prilli
2 QERSHORI,2 Qershori,2 Qershori
2 USHTARËT,2 Ushtarët,2 Ushtaret
20 PRILLI,20 Prilli,20 Prilli
20 QERSHORI,20 Qershori,20 Qershori
20 SHKURTI,20 Shkurti,20 Shkurti
21 MARSI,21 Marsi,21 Marsi
21 MARTIRËT,21 Martirët,21 Martiret
21 PRILLI,21 Prilli,21 Prilli
21 SHTATORI,21 Shtatori,21 Shtatori
22 DËSHMORËT,22 Dëshmorët,22 Deshmoret
22 MAJI,22 Maji,22 Maji
22 QERSHORI,22 Qershori,22 Qershori
23 DHJETORI,23 Dhjetori,23 Dhjetori
23 MARSI,23 Marsi,23 Marsi
23 NISAN,23 Nisan,23 Nisan
24 KORRIKU,24 Korriku,24 Korriku
24 MAJI,24 Maji,24 Maji
24 MARSI,24 Marsi,24 Marsi
24 MART,24 Mart,24 Mart
24 QERSHORI,24 Qershori,24 Qershori
25 GUSHTI,25 Gushti,25 Gushti
25 KORRIKU,25 Korriku,25 Korriku
25 MARSI,25 Marsi,25 Marsi
26 KORRIKU,26 Korriku,26 Korriku
26 MARSI,26 Marsi,26 Marsi
26 PRILLI,26 Prilli,26 Prilli
26 SHKURTI,26 Shkurti,26 Shkurti
27 DHJETORI,27 Dhjetori,27 Dhjetori
27 GUSHTI,27 Gushti,27 Gushti
27 JANARI,27 Janari,27 Janari
27 MAJI,27 Maji,27 Maji
27 MARSI,27 Marsi,27 Marsi
27 MARSI 1999,27 Marsi 1999,27 Marsi 1999
27 NËNTORI,27 Nëntori,27 Nentori
27 PRILLI,27 Prilli,27 Prilli
27 SHTATORI,27 Shtatori,27 Shtatori
28 KORRIKU,28 Korriku,28 Korriku
28 MAJI,28 Maji,28 Maji
