source,title,speaking
monstratat,Demonstratat
DEMONSTRATAT E ZHURIT,Demonstratat e Zhurit,Demonstratat e Zhurit
DEMOSTRATAT E MARSIT,Demostratat e Marsit,Demostratat e Marsit
DEMOSTRATAVE,Demostratave,Demostratave
DEMUSH BARDHECAJ,Demush Bardhecaj,Demush Bardhecaj
DEMUSH BLAKAJ,Demush Blakaj,Demush Blakaj
DEMUSH JETISHI,Demush Jetishi,Demush Jetishi
DEMUSH LATA,Demush Lata,Demush Lata
DEMUSH NEZIRI,Demush Neziri,Demush Neziri
DEMUSH RAMA,Demush Rama,Demush Rama
DEMUSH TAHA,Demush Taha,Demush Taha
DEMË AHMETI,Demë Ahmeti,Deme Ahmeti
DEMË ALI POZHARI,Demë Ali Pozhari,Deme Ali Pozhari
DEMË DANA,Demë Dana,Deme Dana
DEMË DAUTAJ,Demë Dautaj,Deme Dautaj
DEMË KOLOLLI,Demë Kololli,Deme Kololli
DEMË SHALA,Demë Shala,Deme Shala
DEMË ZENELI,Demë Zeneli,Deme Zeneli
DEMİRCİ,Demi̇rci̇,Demi̇rci̇
DERE,Dere,Dere
DERGUT VOKSHI,Dergut Vokshi,Dergut Vokshi
DERVISH AZEMI,Dervish Azemi,Dervish Azemi
DERVISH BOSHTRAJ,Dervish Boshtraj,Dervish Boshtraj
DERVISH BRAHA,Dervish Braha,Dervish Braha
DERVISH BUJARI,Dervish Bujari,Dervish Bujari
DERVISH CARA,Dervish Cara,Dervish Cara
DERVISH HIMA,Dervish Hima,Dervish Hima
DERVISH HYSENI,Dervish Hyseni,Dervish Hyseni
DERVISH KOPRIVA,Dervish Kopriva,Dervish Kopriva
DERVISH MAHMUTI,Dervish Mahmuti,Dervish Mahmuti
DERVISH ROZHAJA,Dervish Rozhaja,Dervish Rozhaja
DERVISH SALIHU,Dervish Salihu,Dervish Salihu
DERVISH SELIMI,Dervish Selimi,Dervish Selimi
DERVISH SHAQA,Dervish Shaqa,Dervish Shaqa
DERVISH SYLA,Dervish Syla,Dervish Syla
DERVISH SYLAJ,Dervish Sylaj,Dervish Sylaj
DERVISH ÇOLLAKU,Dervish Çollaku,Dervish Collaku
DERVISHOLLI,Dervisholli,Dervisholli
DESANKA MAKSIMOVIQ,Desanka Maksimoviq,Desanka Maksimoviq
DESANKA MAKSIMOVIĆ,Desanka Maksimović,Desanka Maksimovic
DESANKA MAKSIMOVIČ,Desanka Maksimovič,Desanka Maksimovic
DESANKE MAKSIMOVIĆ,Desanke Maksimović,Desanke Maksimovic
DESANKE MAKSIMOVIČ,Desanke Maksimovič,Desanke Maksimovic
DESANKE MAKSIMOVIĆ,Desanke Maksimović,Desanke Maksimovic
DESARIOTI,Desarioti,Desarioti
DESHMORI I JANARIT,Deshmori I Janarit,Deshmori I Janarit
DESHMORËT E LIRISË,Deshmorët e Lirisë,Deshmoret e Lirise
DESHTICA,Deshtica,Deshtica
DESPOTA STEFANA,Despota Stefana,Despota Stefana
DESTAN BAJRAKTARI,Destan Bajraktari,Destan Bajraktari
DESTAN BILLUSHA,Destan Billusha,Destan Billusha
DESTAN BYTYÇI,Destan Bytyçi,Destan Bytyci
DESTAN MEHMETI,Destan Mehmeti,Destan Mehmeti
DESTAN MUSLIU,Destan Musliu,Destan Musliu
DESTAN THAÇI,Destan Thaçi,Destan Thaci
DESTAN ZARBINCA,Destan Zarbinca,Destan Zarbinca
DESTANOVCI,Destanovci,Destanovci
DEVAJA,Devaja,Devaja
DEVET JUGOVIĆA,Devet Jugovića,Devet Jugovica
DEVIČKA,Devička,Devicka
DEÇANI,Deçani,Decani
DEČANSKA,Dečanska,Decanska
DHESHKRONJË,Dheshkronjë,Dheshkronje
DHEU I BARDHË,Dheu I Bardhë,Dheu I Bardhe
DHEU I KUQ,Dheu I Kuq,Dheu I Kuq
DHIMITËR FULLANI,Dhimitër Fullani,Dhimiter Fullani
DHIMITËR KAMARDA,Dhimitër Kamarda,Dhimiter Kamarda
DHIMITËR SHUTERIQI,Dhimitër Shuteriqi,Dhimiter Shuteriqi
DHJETORI I KOMBIT,Dhjetori I Kombit,Dhjetori I Kombit
DHORA LEKA,Dhora Leka,Dhora Leka
DHURATA XOXA,Dhurata Xoxa,Dhurata Xoxa
DIASPORA,Diaspora,Diaspora
DIASPORA ZHURJANE,Diaspora Zhurjane,Diaspora Zhurjane
DIBRA,Dibra,Dibra
DIBRA E MADHE,Dibra e Madhe,Dibra e Madhe
DIBRAN BEKTESHI,Dibran Bekteshi,Dibran Bekteshi
DIBRAN BEQA,Dibran Beqa,Dibran Beqa
DIBRAN PALOJA,Dibran Paloja,Dibran Paloja
DIBRAN TAHIRI,Dibran Tahiri,Dibran Tahiri
DIBRANI,Dibrani,Dibrani
DIDARE GJINOLLI,Didare Gjinolli,Didare Gjinolli
DIELLI,Dielli,Dielli
DIELLORËT,Diellorët,Dielloret
DIGA,Diga,Diga
DIJA,Dija,Dija
DIJETARËT E KABASHIT,Dijetarët e Kabashit,Dijetaret e Kabashit
DIJËS,Dijës,Dijes
DIL MRAMORI,Dil Mramori,Dil Mramori
DIMITRIE TUCOVIÇ,Dimitrie Tucoviç,Dimitrie Tucovic
DIMITRIJA POPOVIĆA,Dimitrija Popovića,Dimitrija Popovica
DIMITRIJE TUCOVIQ,Dimitrije Tucoviq,Dimitrije Tucoviq
DIMITRIJE TUCOVČ,Dimitrije Tucovč,Dimitrije Tucovc
DIMITRIJEVA,Dimitrijeva,Dimitrijeva
DIN AHMETI,Din Ahmeti,Din Ahmeti
DIN BAJRUSHI,Din Bajrushi,Din Bajrushi
DIN GODENI,Din Godeni,Din Godeni
DIN HASIQI,Din Hasiqi,Din Hasiqi
DIN HOXHA,Din Hoxha,Din Hoxha
DIN MEHMETI,Din Mehmeti,Din Mehmeti
DIN SPAHIJA,Din Spahija,Din Spahija
DIN TEMAJ,Din Temaj,Din Temaj
DINA,Dina,Dina
DINAJT,Dinajt,Dinajt
DININO SOKAČ,Dinino Sokač,Dinino Sokac
DINOLLI,Dinolli,Dinolli
DINË ALIJAJ,Dinë Alijaj,Dine Alijaj
DINË CENAJ,Dinë Cenaj,Dine Cenaj
DINË NEZIRI,Dinë Neziri,Dine Neziri
DINË ÇEKAJ,Dinë Çekaj,Dine Cekaj
DIOKLECIANI,Diokleciani,Diokleciani
DITA A NËNËS,Dita A Nënës,Dita A Nenes
DITA E FLAMURIT,Dita e Flamurit,Dita e Flamurit
DITA E MËSUESIT,Dita e Mësuesit,Dita e Mesuesit
DITA E PAVARËSISË,Dita e Pavarësisë,Dita e Pavaresise
DITA E ÇLIRIMIT,Dita e Çlirimit,Dita e Clirimit
DITURIA,Dituria,Dituria
DITURISË,Diturisë,Diturise
DITËT E BUJARISË,Ditët e Bujarisë,Ditet e Bujarise
DITËT E KRENARISË,Ditët e Krenarisë,Ditet e Krenarise
DITËT E MINATORIT,Ditët e Minatorit,Ditet e Minatorit
DIVIZIONI I KUKËSIT,Divizioni I Kukësit,Divizioni I Kukesit
DIVJA VERBA,Divja Verba,Divja Verba
DIVJAKA,Divjaka,Divjaka
DJEMTË E ASFALTIT,Djemtë e Asfaltit,Djemte e Asfaltit
DJEMTË E LIRISË,Djemtë e Lirisë,Djemte e Lirise
DJEMTË E VRELLËS,Djemtë e Vrellës,Djemte e Vrelles
DJERRINAT,Djerrinat,Djerrinat
DJURE JAKŠIĆA,Djure Jakšića,Djure Jaksica
DOBRAJ,Dobraj,Dobraj
DOBRATIQI,Dobratiqi,Dobratiqi
DOBRICA ĆOSIĆ,Dobrica Ćosić,Dobrica Cosic
DOBRICE ĆOSIĆA,Dobrice Ćosića,Dobrice Cosica
DOBRUNAJ,Dobrunaj,Dobrunaj
DODA,Doda,Doda
DODONA,Dodona,Dodona
DODË KALAJA,Dodë Kalaja,Dode Kalaja
DOF,Dof,Dof
DOF DŽELOF,Dof Dželof,Dof Dzelof
DOGANDŽIĆEVA,Dogandžićeva,Dogandziceva
DOKLEATËT,Dokleatët,Dokleatet
DOKTOR MUMQILLA,Doktor Mumqilla,Doktor Mumqilla
DOKTORI,Doktori,Doktori
DOKTORËT,Doktorët,Doktoret
DOM LUKA,Dom Luka,Dom Luka
DOM MARTIN BERISHA,Dom Martin Berisha,Dom Martin Berisha
DOM NDOC NIKAJ,Dom Ndoc Nikaj,Dom Ndoc Nikaj
DOM NIKOLLA,Dom Nikolla,Dom Nikolla
DOM NIKOLLË KAÇORRI,Dom Nikollë Kaçorri,Dom Nikolle Kacorri
DOMATES,Domates,Domates
DOMENIK PËRGEGAJ,Domenik Përgegaj,Domenik Pergegaj
