source,title,speaking
OKAJ,Vëllezërit Gjokaj,Vellezerit Gjokaj
VËLLEZËRIT GRIM,Vëllezërit Grim,Vellezerit Grim
VËLLEZËRIT GËRVALLA,Vëllezërit Gërvalla,Vellezerit Gervalla
VËLLEZËRIT HARADINAJ,Vëllezërit Haradinaj,Vellezerit Haradinaj
VËLLEZËRIT HASANAJ,Vëllezërit Hasanaj,Vellezerit Hasanaj
VËLLEZËRIT HAXHIJA,Vëllezërit Haxhija,Vellezerit Haxhija
VËLLEZËRIT HOTI,Vëllezërit Hoti,Vellezerit Hoti
VËLLEZËRIT HOXHA,Vëllezërit Hoxha,Vellezerit Hoxha
VËLLEZËRIT IBISHI,Vëllezërit Ibishi,Vellezerit Ibishi
VËLLEZËRIT IBRAHIMI,Vëllezërit Ibrahimi,Vellezerit Ibrahimi
VËLLEZËRIT ISMAJLI,Vëllezërit Ismajli,Vellezerit Ismajli
VËLLEZËRIT JASHARI,Vëllezërit Jashari,Vellezerit Jashari
VËLLEZËRIT KADIRI,Vëllezërit Kadiri,Vellezerit Kadiri
VËLLEZËRIT KAJTAZAJ,Vëllezërit Kajtazaj,Vellezerit Kajtazaj
VËLLEZËRIT KAJTAZI,Vëllezërit Kajtazi,Vellezerit Kajtazi
VËLLEZËRIT KASTRATI,Vëllezërit Kastrati,Vellezerit Kastrati
VËLLEZËRIT KQIRAJ,Vëllezërit Kqiraj,Vellezerit Kqiraj
VËLLEZËRIT KRIVAÇA,Vëllezërit Krivaça,Vellezerit Krivaca
VËLLEZËRIT KURTAJ,Vëllezërit Kurtaj,Vellezerit Kurtaj
VËLLEZËRIT LATIFI,Vëllezërit Latifi,Vellezerit Latifi
VËLLEZËRIT LIMANI,Vëllezërit Limani,Vellezerit Limani
VËLLEZËRIT LLESHI,Vëllezërit Lleshi,Vellezerit Lleshi
VËLLEZËRIT MAJANCI,Vëllezërit Majanci,Vellezerit Majanci
VËLLEZËRIT MALOKU,Vëllezërit Maloku,Vellezerit Maloku
VËLLEZËRIT MATAROVA,Vëllezërit Matarova,Vellezerit Matarova
VËLLEZËRIT MEHMETI,Vëllezërit Mehmeti,Vellezerit Mehmeti
VËLLEZËRIT MELENICA,Vëllezërit Melenica,Vellezerit Melenica
VËLLEZËRIT MESHI,Vëllezërit Meshi,Vellezerit Meshi
VËLLEZËRIT METOLLI,Vëllezërit Metolli,Vellezerit Metolli
VËLLEZËRIT MORINA,Vëllezërit Morina,Vellezerit Morina
VËLLEZËRIT MUHADRI,Vëllezërit Muhadri,Vellezerit Muhadri
VËLLEZËRIT MULA,Vëllezërit Mula,Vellezerit Mula
VËLLEZËRIT MUSLIU,Vëllezërit Musliu,Vellezerit Musliu
VËLLEZËRIT MUZAQI,Vëllezërit Muzaqi,Vellezerit Muzaqi
VËLLEZËRIT NIMANI,Vëllezërit Nimani,Vellezerit Nimani
VËLLEZËRIT PODVORICA,Vëllezërit Podvorica,Vellezerit Podvorica
VËLLEZËRIT PREKAZI,Vëllezërit Prekazi,Vellezerit Prekazi
VËLLEZËRIT PËRVETICA,Vëllezërit Përvetica,Vellezerit Pervetica
VËLLEZËRIT QATANI,Vëllezërit Qatani,Vellezerit Qatani
VËLLEZËRIT QELAJ,Vëllezërit Qelaj,Vellezerit Qelaj
VËLLEZËRIT RAMA,Vëllezërit Rama,Vellezerit Rama
